,N,p,k,Raft,Uninf,Geom id,Geom corr,MME,stable
398,29.0,0.43455170186991965,13.0,22.591041393857715,24.32563880970253,23.21730447381688,26.441480750086754,19.918421052631583,1.0
399,27.0,0.7215305133468509,16.0,25.565815134518836,26.296954985561637,26.077625777687253,28.009554375138308,22.60710002398657,1.0
400,75.0,0.9707235512877394,8.0,75.04591724023601,74.82552702363395,75.81742109691751,103.01886998237941,74.00342465753425,1.0
401,100.0,0.010046565425720355,16.0,2.994552641229938,3.3101094484899205,2.784770854288344,3.2722455967390633,-17.285714285714285,0.0
402,56.0,0.23259295563480897,8.0,27.53711528718922,33.84620044207176,28.880500288957247,36.67553624024878,42.63321799307958,0.0
403,76.0,0.5807592216576425,11.0,68.07236135695179,86.68963747266172,80.31018529141858,104.66596536963615,77.0728476821192,1.0
404,70.0,0.011881345043296077,12.0,4.252931361900799,4.678470949423317,4.003664143033086,4.597726320192661,6.000000000000002,0.0
405,15.0,0.40323395094564807,5.0,9.492995245316072,9.96598823314246,9.31676096358769,10.68187353168557,8.191011235955056,1.0
406,51.0,0.7055586034339054,6.0,44.75976691755999,47.26189711006576,48.49987836242057,65.64983017790311,41.5868358445678,1.0
407,89.0,0.30795767431485543,20.0,61.21993099180932,83.81246415786813,69.53989481032995,90.04362539634101,142.21179624664876,0.0
408,64.0,0.2947233763001611,19.0,60.73398090060413,87.29941507832139,65.0200579255078,84.86415950068032,-333.27118644067866,0.0
409,39.0,0.8811935289834932,9.0,38.26596071216498,38.535308651135594,39.32925545326388,47.11027708434747,36.04255319148936,1.0
410,91.0,0.6339857759476877,16.0,71.40629754274471,75.79007107208575,76.68196778768848,89.38134842120463,71.67015706806282,1.0
411,77.0,0.19681245976306383,16.0,36.883629299003445,48.560123453117846,38.950032668185045,49.76228087199412,104.80917431192661,0.0
412,92.0,0.29871517718873697,8.0,53.22147207305396,71.59892395710199,60.279917041544344,79.18179393646653,105.03960396039604,0.0
413,73.0,0.0953026408069283,10.0,12.122587738592962,12.368857935634907,12.065282496015898,13.305674165077413,10.072847682119207,1.0
414,56.0,0.8684907525922481,19.0,54.48693904916441,54.83228570064004,55.33128592720517,58.82276455378308,52.8207688467299,1.0
415,74.0,0.5372127982492554,11.0,68.43375329336547,96.33818964836254,83.18301624637266,110.0823441064869,103.00427578834845,0.0
416,60.0,0.4701498461371677,8.0,43.992516824599114,54.68005755604046,49.31195235068017,63.99979377361258,49.137339055793994,1.0
417,72.0,0.44159981222139066,9.0,49.193517645844224,62.24297343971779,56.67697419978642,73.59190319549485,56.19512195121951,1.0
418,89.0,0.5685003076715933,5.0,61.01089689136802,67.25251834659797,68.29484371398244,97.1829986373369,56.251857968620975,1.0
419,96.0,0.05495588110949323,22.0,20.56685158407797,24.75483791841447,18.652679983462434,24.170088266983374,-44.86153846153841,0.0
420,61.0,0.6239940439442927,14.0,55.26518656896478,64.17558128462387,62.07554964551843,75.7494642761689,57.403872752420476,1.0
421,100.0,0.7538108638413975,16.0,90.8770656521944,98.44410228939167,99.3571055925173,117.5099233757861,91.48555288617622,1.0
422,14.0,0.8157635097295171,4.0,17.20275811415105,18.63829252544746,17.52999105178444,21.631894856593878,14.235294117647058,1.0
423,39.0,0.2978468126582894,22.0,29.238215839462455,34.77282704763719,29.79394113673335,36.041259589913636,34.68078175895764,0.0
424,76.0,0.7704299581610319,7.0,82.14174374503327,107.26293974226004,101.12813042505228,141.13217248478327,92.0665332666333,1.0
425,21.0,0.5848345492664228,10.0,15.921650122522953,16.002488245092827,16.174657451952093,17.784564078502726,14.064361191162343,1.0
426,85.0,0.2551399877755559,19.0,63.9360184271717,89.83904069070182,70.57821171562064,92.48541882232165,36465.800000000934,0.0
427,74.0,0.32743556848557387,20.0,54.886704963241826,73.19759743515444,60.49714915897731,77.66512996816859,93.72800321414228,0.0
428,36.0,0.14288162241059965,16.0,16.26897441012582,18.909015231460813,15.439033443585172,19.123323158377833,41.0,0.0
429,72.0,0.50926490225106,15.0,49.374748137673684,54.54581197812777,53.64729366509336,63.80845753873742,48.69467213114754,1.0
430,54.0,0.06097666216704045,7.0,6.7173713540183115,7.051872207600597,6.498122906003214,7.267541828463263,5.260869565217392,1.0
431,20.0,0.21209955285341808,5.0,10.213332295321983,11.596051159984405,9.845131271263181,11.68814208489757,14.2258064516129,0.0
432,14.0,0.35928325592092625,10.0,11.914721389694826,12.469563989891231,11.769961783841312,13.338694312934438,10.343434343434344,1.0
433,16.0,0.34278404032146725,14.0,13.077961949884381,14.344199817410882,12.49004372886557,14.767521395730205,15.399999999999999,0.0
434,24.0,0.7166951529614366,12.0,24.957171498352707,26.159941890383305,25.832757868232417,29.6863811088717,22.458097686375325,1.0
435,49.0,0.852704192603799,7.0,52.84637225097466,60.30454777771395,59.1954709658506,78.69023523873949,50.64948453608247,1.0
436,70.0,0.5025195160925906,8.0,54.24691352361683,67.66992266095062,62.50171881741699,81.91209646713308,58.59375,1.0
437,85.0,0.9537029067783044,10.0,87.50724016179491,88.50064373130624,90.39111979319644,113.68247789196747,85.21039094650206,1.0
438,52.0,0.837196566293999,18.0,50.80112367682113,51.429512397471505,51.92025341296881,55.39224830631641,47.13036565977742,1.0
439,64.0,0.9157353023867386,5.0,63.893077418468266,66.14850483230144,69.38253121081699,106.79649014249338,60.591977869986174,1.0
440,28.0,0.03631429607717185,19.0,4.191244849660734,4.554691829855882,3.9736414102613096,4.511674475896033,4.737704918032786,0.0
